Crop,Area 000ha,Yield t/ha,Production kt,Area change %,Production change %
Grain sorghum,130.0,3.1,403.0,-33.3,-50.8
Cotton lint,272.5,2.2725420903009432,619.268,-19.9,-15.7
Cottonseed,272.5,2.605247706422018,709.93,-19.9,-15.7
Rice,70.0,9.901553313798113,693.109,37.25490196078431,34.58427184466021
