Crop,Area 000ha,Yield t/ha,Production kt,Area change %,Production change %
Grain sorghum,385.0,2.727272727272727,1050.0,-21.0,-42.0
Cotton lint,123.0,2.3449462706291624,288.428,-44.0,-44.0
Cottonseed,123.0,2.688252032520325,330.655,-44.0,-44.0
