Crop,Area 000ha,Yield t/ha,Production kt,Area change %,Production change %
Wheat,2200.0,2.227272727272727,4900.0,0.0,-33.3
Barley,800.0,2.625,2100.0,-3.6,-27.6
Canola,290.0,1.7586206896551724,510.0,0.0,-33.8
