Crop,Area 000ha,Yield t/ha,Production kt,Area change %,Production change %
Wheat,800,1.375,1100,–18.4,–57.7
Barley,150,1.8666666666666667,280,10.294117647058826,–30.5
Chickpeas,240,1.3333333333333333,320,20,9.589041095890408
