Crop,Area 000ha,Yield t/ha,Production kt,Area change %,Production change %
Wheat,4650.0,1.7526881720430108,8150.0,-2.1,-43.8
Barley,1600.0,2.5,4000.0,,-28.6
Canola,1800.0,1.3888888888888888,2500.0,-14.3,-41.9
Lupins,250.0,1.52,380.0,-37.5,-58.9
